name,gender,field
Sharon_Arroyo,female,math
Noreen_Sher_Akbar,female,math
Leah_Berman,female,math
Alexandra_Bellow,female,math
Jillian_Beardwood,female,math
Ellen_Baake,female,math
Beulah_Armstrong,female,math
Catherine_Cavagnaro,female,math
Paola_Antonietti,female,math
Margaret_Brown,female,math
Meike_Akveld,female,math
Asuman_Aksoy,female,math
Carolina_Araujo,female,math
Margaret_Bayer,female,math
May_Beenken,female,math
Sunčica_Čanić,female,math
Shabnam_Akhtari,female,math
Jean_Bartik,female,math
Josephine_Chanler,female,math
Tamara_Broderick,female,math
Pilar_Bayer,female,math
Angelika_Bunse-Gerstner,female,math
Dorothy_Lewis_Bernstein,female,math
Louise_Doris_Adams,female,math
Ruth_Baker,female,math
Melody_Chan,female,math
Virginie_Bonnaillie-Noël,female,math
María_Andrea_Casamayor,female,math
Kitty_Baker,female,math
Agnes_Sime_Baxter,female,math
Aline_Bonami,female,math
Mei-Chu_Chang,female,math
Isabelle_Chalendar,female,math
Elizabeth_Bradley,female,math
Maria_Angela_Ardinghelli,female,math
Julia_Böttcher,female,math
Mary_Everest_Boole,female,math
Marsha_Berger,female,math
Grace_Alele-Williams,female,math
Leone_Burton,female,math
Hilda_Assiyatun,female,math
Mary_Bradburn,female,math
Grace_Andrews,female,math
Christine_Bernardi,female,math
Jenny_Baglivo,female,math
Bárbara_M._Brizuela,female,math
Gertrude_Blanch,female,math
Joan_Birman,female,math
Lilya_Budaghyan,female,math
Karen_Brucks,female,math
Ruth_Aaronson_Bari,female,math
Vasanti_N._Bhat-Nayak,female,math
Lucia_Caporaso,female,math
Celia_Grillo_Borromeo,female,math
Fatiha_Alabau,female,math
Beatrice_Aitchison,female,math
Neda_Bokan,female,math
Michèle_Artigue,female,math
Priscilla_Braislin,female,math
Clara_Latimer_Bacon,female,math
Lara_Alcock,female,math
Marjorie_Lee_Browne,female,math
Natascha_Artin_Brunswick,female,math
Maria_Bruna,female,math
Florence_Eliza_Allen,female,math
Margaret_Baron,female,math
Vyjayanthi_Chari,female,math
Agnès_Beaudry,female,math
Karen_M._Bliss,female,math
Anne_Broadbent,female,math
Mildred_Barnard,female,math
Lidia_Angeleri_Hügel,female,math
Janet_Barnett,female,math
Grace_Marie_Bareis,female,math
Marie-Claude_Arnaud,female,math
Sylvie_Boldo,female,math
Christine_Ayoub,female,math
Valentina_Borok,female,math
María_J._Carro,female,math
Mary_L._Boas,female,math
Mara_Alagic,female,math
Sara_Billey,female,math
Bettye_Anne_Case,female,math
Kathleen_Antonelli,female,math
Tanja_Bergkvist,female,math
Anne_Bourlioux,female,math
Winifred_Asprey,female,math
Helen_Calkins,female,math
Astrid_Beckmann,female,math
Marilyn_Burns,female,math
Hertha_Ayrton,female,math
Lenore_Blum,female,math
Yaiza_Canzani,female,math
Ana_Carpio,female,math
Elayne_Arrington,female,math
Alicia_Boole_Stott,female,math
Viviane_Baladi,female,math
Dorothy_Brady,female,math
Leila_Bram,female,math
Jacqueline_Akinpelu,female,math
Terence_Tao,male,math
Peter_Scholze,male,math
Andrew_Wiles,male,math
Grigori_Perelman,male,math
Timothy_Gowers,male,math
Jean_Bourgain,male,math
Manjul_Bhargava,male,math
Akshay_Venkatesh,male,math
Ngô_Bảo_Châu,male,math
Artur_Avila,male,math
John_von_Neumann,male,math
Kurt_Gödel,male,math
Alan_Turing,male,math
Claude_Shannon,male,math
Norbert_Wiener,male,math
John_Nash,male,math
Paul_Erdős,male,math
Andrey_Kolmogorov,male,math
Henri_Lebesgue,male,math
Évariste_Galois,male,math
Carl_Friedrich_Gauss,male,math
Leonhard_Euler,male,math
Joseph-Louis_Lagrange,male,math
Pierre-Simon_Laplace,male,math
Augustin-Louis_Cauchy,male,math
Bernhard_Riemann,male,math
David_Hilbert,male,math
Felix_Klein,male,math
Hermann_Weyl,male,math
Srinivasa_Ramanujan,male,math
Harish-Chandra,male,math
C._R._Rao,male,math
Shreeram_Abhyankar,male,math
Daya-Nand_Verma,male,math
Shiing-Shen_Chern,male,math
Kunihiko_Kodaira,male,math
Heisuke_Hironaka,male,math
Kiyoshi_Oka,male,math
Vladimir_Arnold,male,math
Israel_Gelfand,male,math
Sergei_Novikov,male,math
Yakov_Sinai,male,math
René_Thom,male,math
Jean-Pierre_Serre,male,math
Alexander_Grothendieck,male,math
Alain_Connes,male,math
George_Dantzig,male,math
Richard_Bellman,male,math
Stephen_Smale,male,math
Michael_Atiyah,male,math
William_Thurston,male,math
Barry_Mazur,male,math
Andrew_Odlyzko,male,math
Terence_Lyons,male,math
Ben_Green,male,math
James_Maynard,male,math
Persi_Diaconis,male,math
László_Lovász,male,math
Endre_Szemerédi,male,math
Imre_Lakatos,male,math
Gerd_Faltings,male,math
Peter_Lax,male,math
Elias_Stein,male,math
Charles_Feffer,male,math
Mark_Kac,male,math
Paul_Cohen_(mathematician),male,math
Dana_Scott,male,math
Solomon_Feferman,male,math
Ronald_Fisher,male,math
Jerzy_Neyman,male,math
Abraham_Wald,male,math
Harald_Cramér,male,math
Hugo_Steinhaus,male,math
Stefan_Banach,male,math
Wacław_Sierpiński,male,math
Kazimierz_Kuratowski,male,math
Armand_Borel,male,math
Jacques_Tits,male,math
Pierre_Deligne,male,math
Jean-Christophe_Yoccoz,male,math
Max_Dehn,male,math
Emil_Artin,male,math
Helmut_Hasse,male,math
Erich_Hecke,male,math
Manfred_Eigen,male,math
Gilles_Pisier,male,math
Vaughan_Jones,male,math
Enrico_Bombieri,male,math
Atle_Selberg,male,math
George_Andrews_(mathematician),male,math
Freeman_Dyson,male,math
John_Horton_Conway,male,math
Richard_Hamming,male,math
Claude_Chevalley,male,math
Kenkichi_Iwasawa,male,math
John_Milnor,male,math
Hillel_Furstenberg,male,math
Terence_Parsons,male,math
Jean_Dieudonné,male,math
Otto_Neugebauer,male,math
